Frequency,Ionic radius ,Temperature,Re(Z),Img(Z)
1000000.0,1.82e-10,20,4565.279999999984,11632.199999999937
926000.0,1.82e-10,20,4812.939999999998,12171.399999999983
858000.0,1.82e-10,20,4751.8400000000065,12946.800000000367
794000.0,1.82e-10,20,5424.639999999975,13942.400000000198
736000.0,1.82e-10,20,6048.53999999997,13825.20000000002
681000.0,1.82e-10,20,6704.479999999959,15558.199999999817
631000.0,1.82e-10,20,7174.839999999961,15253.19999999981
584000.0,1.82e-10,20,7972.69999999998,16315.800000000167
541000.0,1.82e-10,20,8440.879999999976,16673.400000000183
501000.0,1.82e-10,20,9587.980000000023,17963.80000000049
464000.0,1.82e-10,20,10620.579999999989,18987.6000000001
430000.0,1.82e-10,20,11128.619999999988,18861.000000000076
398000.0,1.82e-10,20,13193.580000000025,20375.400000000438
369000.0,1.82e-10,20,13467.960000000028,20620.200000000415
341000.0,1.82e-10,20,14731.540000000068,21463.1999999999
316000.0,1.82e-10,20,15471.000000000091,22159.399999999812
293000.0,1.82e-10,20,16169.000000000044,22572.600000000508
271000.0,1.82e-10,20,17541.39999999999,23346.000000000447
251000.0,1.82e-10,20,19417.199999999986,24239.199999999615
233000.0,1.82e-10,20,19796.399999999987,24387.19999999966
215000.0,1.82e-10,20,20718.399999999976,24562.600000000537
200000.0,1.82e-10,20,20727.39999999997,24470.80000000051
185000.0,1.82e-10,20,22451.000000000076,25283.199999999746
171000.0,1.82e-10,20,23816.000000000135,25886.79999999935
158000.0,1.82e-10,20,24537.600000000144,26070.399999999216
147000.0,1.82e-10,20,26337.200000000135,26563.799999999166
136000.0,1.82e-10,20,27829.000000000124,27096.19999999931
126000.0,1.82e-10,20,28933.20000000004,27707.800000000305
117000.0,1.82e-10,20,29867.599999999915,28191.200000000485
108000.0,1.82e-10,20,30202.59999999993,28269.40000000047
100000.0,1.82e-10,20,32002.20000000007,29156.599999999857
92600.0,1.82e-10,20,33762.0000000002,29962.79999999941
85800.0,1.82e-10,20,34247.20000000031,30248.599999999336
79400.0,1.82e-10,20,35542.00000000026,30836.600000000217
73600.0,1.82e-10,20,36125.60000000025,31159.80000000028
68100.0,1.82e-10,20,37449.2000000001,32073.399999999685
63100.0,1.82e-10,20,38130.6,32576.99999999951
58400.0,1.82e-10,20,39019.99999999986,33274.799999999865
54100.0,1.82e-10,20,39295.999999999854,33446.199999999924
50100.0,1.82e-10,20,40586.999999999854,34345.00000000003
46400.0,1.82e-10,20,43064.99999999977,36150.80000000026
43000.0,1.82e-10,20,44009.599999999744,36798.99999999985
39800.0,1.82e-10,20,45436.399999999805,38081.80000000015
36900.0,1.82e-10,20,46449.60000000017,38806.80000000021
34100.0,1.82e-10,20,48036.59999999995,40319.40000000032
31600.0,1.82e-10,20,49623.60000000011,41574.999999999476
29300.0,1.82e-10,20,50488.00000000018,42521.99999999919
27100.0,1.82e-10,20,52526.199999999604,44364.79999999966
