frequency,Re(Z),Img(Z)
1000000.0,5480.600000000004,-1841.6800000000517
912000.0,5508.720000000018,-1808.0999999999256
832000.0,5490.700000000019,-1839.719999999888
759000.0,5409.040000000009,-2004.2199999998384
692000.0,5315.199999999997,-2092.5199999999654
631000.0,5367.300000000015,-2167.7400000002062
575000.0,5479.540000000022,-2222.4999999998427
525000.0,5555.360000000014,-2376.2799999998656
479000.0,5543.559999999988,-2703.820000000047
437000.0,5548.020000000006,-2859.02000000004
398000.0,5436.280000000009,-3218.579999999854
363000.0,3100.020000000001,-5176.179999999929
331000.0,5497.419999999977,-3942.019999999646
302000.0,5583.919999999972,-3920.799999999606
275000.0,5913.839999999991,-3923.279999999792
251000.0,6205.839999999997,-3963.519999999869
229000.0,6409.379999999991,-4323.800000000003
209000.0,6679.539999999993,-4777.860000000117
191000.0,6702.540000000026,-4952.519999999754
174000.0,6791.800000000028,-5269.219999999781
158000.0,7260.099999999987,-5816.379999999626
145000.0,7291.699999999961,-5969.919999999705
132000.0,7174.180000000028,-6508.959999999682
120000.0,7081.120000000022,-7105.699999999789
110000.0,7268.800000000041,-7612.859999999583
100000.0,7579.820000000033,-8189.31999999993
91200.0,7821.639999999974,-8798.080000000498
83200.0,7909.760000000041,-9394.579999999787
75900.0,8145.200000000043,-10260.14000000031
69200.0,8430.259999999984,-11096.639999999848
63100.0,8651.639999999965,-11968.900000000354
57500.0,8814.680000000004,-12633.20000000005
52500.0,9411.819999999989,-13974.200000000246
47900.0,9995.519999999984,-15192.599999999744
43700.0,10241.140000000009,-16103.999999999727
39800.0,11555.219999999996,-18219.999999999647
36300.0,11855.979999999974,-19186.199999999564
33100.0,13114.200000000024,-20902.19999999943
30200.0,13743.19999999996,-22028.000000000226
27500.0,15699.599999999991,-24570.80000000029
25100.0,16957.199999999924,-26260.599999999635
22900.0,19185.599999999955,-28599.99999999988
20900.0,20699.19999999985,-30050.4000000005
19100.0,22490.800000000007,-31855.40000000052
17400.0,24599.600000000108,-33805.799999999595
15800.0,29407.600000000064,-36744.80000000003
14500.0,31684.199999999862,-37759.40000000037
13200.0,36077.59999999991,-39419.80000000016
12000.0,39350.40000000008,-40524.79999999997
11000.0,42842.99999999985,-40975.80000000029
10000.0,48001.00000000003,-41653.00000000003
9120.0,51525.60000000008,-41687.79999999959
8320.0,53855.79999999989,-41380.20000000003
7590.0,57563.40000000037,-40784.2000000005
6920.0,61199.40000000018,-40123.00000000021
6310.0,65805.60000000012,-38579.00000000029
5750.0,69481.40000000014,-36710.20000000006
5250.0,71571.79999999978,-34557.19999999968
4790.0,74056.59999999958,-33557.600000000384
4370.0,76567.60000000014,-31565.19999999977
3980.0,79240.19999999984,-29484.39999999978
3630.0,80666.8000000004,-27269.40000000032
3310.0,82493.60000000014,-24786.400000000893
3020.0,83288.40000000026,-23323.200000000827
2750.0,84977.40000000036,-21078.799999999675
2510.0,85550.39999999967,-19758.40000000001
2290.0,87162.40000000002,-17298.67999999973
2090.0,88546.6000000002,-15704.31999999975
1910.0,88246.20000000038,-14465.3999999998
1740.0,89191.80000000053,-13294.839999999853
1580.0,89423.80000000035,-11197.160000000256
1450.0,89020.60000000028,-10352.160000000436
1320.0,88547.40000000068,-9506.120000000434
1200.0,88646.40000000036,-8295.37999999985
1100.0,88764.80000000025,-7715.579999999806
1000.0,88599.6000000002,-6269.63999999968
912.0,88649.00000000017,-5768.939999999716
832.0,88531.40000000029,-4905.859999999784
