frequency,Re(Z),Img(Z)
1000000.0,3946.740000000005,-1493.6599999997184
912000.0,3977.019999999995,-1564.4399999998914
832000.0,3985.799999999998,-1609.9799999997667
759000.0,4079.4599999999914,-1707.9199999998189
692000.0,4191.399999999989,-1765.1200000000888
631000.0,4246.240000000022,-1855.7400000001128
575000.0,4230.979999999998,-2021.9399999997784
525000.0,4348.2,-2108.379999999683
479000.0,4390.619999999986,-2256.9799999997185
437000.0,4468.980000000011,-2398.84000000046
398000.0,4546.419999999987,-2566.5400000000736
363000.0,4469.960000000018,-2791.600000000152
331000.0,4517.880000000011,-3008.780000000149
302000.0,4670.760000000024,-3138.6200000002527
275000.0,4792.920000000016,-3354.699999999983
251000.0,4853.179999999999,-3577.420000000097
229000.0,5011.599999999988,-3852.18000000029
209000.0,5098.4000000000015,-4118.160000000101
191000.0,5202.5400000000045,-4389.759999999735
174000.0,5310.980000000027,-4768.239999999978
158000.0,5546.239999999998,-5359.439999999958
145000.0,5680.539999999984,-5571.859999999924
132000.0,5753.91999999999,-5899.1599999999535
120000.0,5797.079999999974,-6423.260000000248
110000.0,5994.800000000012,-6966.23999999963
100000.0,6157.5000000000255,-7521.559999999799
91200.0,6437.620000000004,-8150.260000000399
83200.0,6657.220000000033,-8812.460000000241
75900.0,6878.299999999981,-9578.460000000445
69200.0,7061.879999999981,-10291.780000000144
63100.0,7348.959999999967,-11136.900000000232
57500.0,7644.08,-11998.200000000128
52500.0,8274.439999999999,-13199.40000000052
47900.0,8687.900000000021,-14293.200000000325
43700.0,9165.36000000002,-15380.19999999992
39800.0,10682.499999999973,-17541.200000000063
36300.0,10774.539999999952,-18146.20000000002
33100.0,12559.780000000012,-20286.99999999962
30200.0,12703.99999999996,-20994.60000000055
27500.0,13824.399999999936,-22540.00000000056
25100.0,15007.79999999996,-24049.79999999953
22900.0,16866.79999999996,-25836.59999999957
20900.0,18622.399999999947,-27207.19999999995
19100.0,20496.99999999996,-29198.599999999613
