Re(Z),Img(Z)
3461.0199999999945,1325.4800000001549
3484.120000000001,1428.2000000003472
3490.2200000000007,1432.4800000003763
3597.379999999994,1564.9599999999864
3591.840000000001,1611.5000000000628
3619.159999999985,1720.759999999823
3636.759999999991,1840.4999999998067
3742.3999999999896,1965.4999999999427
3818.240000000012,2105.060000000355
3802.720000000012,2217.080000000172
3878.160000000004,2404.180000000309
4006.8599999999856,2518.540000000236
4094.7999999999984,2782.1800000003213
4144.119999999994,2876.800000000317
4216.879999999991,3070.7200000000707
4253.819999999983,3265.6799999999416
4252.179999999997,3538.2600000001776
4436.239999999977,3785.919999999903
4601.199999999998,4062.7999999996414
4722.039999999972,4402.540000000099
4795.1799999999885,4733.479999999857
4707.219999999989,5028.359999999896
4822.799999999995,5332.25999999998
5126.260000000009,5806.060000000379
5208.839999999992,6273.82000000004
5358.999999999986,6746.360000000413
5612.039999999989,7363.160000000289
5751.460000000035,7937.100000000389
6048.840000000032,8720.17999999967
6242.180000000038,9271.999999999416
6502.879999999994,10215.039999999886
6913.31999999998,10802.91999999982
7361.420000000025,11666.13999999988
7826.079999999998,12595.1999999998
8310.000000000055,13566.000000000387
9079.219999999994,14951.20000000028
9739.47999999999,15740.199999999437
10544.680000000026,16889.200000000186
11479.88,18077.400000000503
12531.639999999945,19293.399999999616
13857.039999999914,20710.39999999988
14500.199999999955,21571.59999999993
16325.799999999988,22832.800000000178
18991.20000000008,24511.20000000028
20055.800000000083,25136.40000000026
22414.19999999985,26344.000000000487
24728.99999999984,27296.59999999949
27272.400000000023,27976.399999999485
29230.999999999964,28356.999999999847
32354.800000000112,28880.80000000036
36498.00000000007,29277.99999999992
38911.400000000125,29191.20000000022
41778.1999999997,28502.800000000472
44476.40000000026,27775.79999999963
46616.60000000025,27039.200000000004
49376.600000000246,25781.399999999667
51022.20000000041,24776.60000000041
52626.600000000166,23487.200000000103
54726.59999999979,22172.400000000594
55841.60000000028,21064.40000000002
56989.20000000027,19860.399999999416
58130.00000000009,18210.400000000085
59666.800000000345,16812.60000000039
60308.80000000007,16094.799999999856
60823.599999999984,13678.879999999905
61341.99999999985,13403.679999999636
62391.59999999976,12270.599999999644
63024.40000000014,11616.919999999736
63437.20000000002,10785.53999999988
63607.000000000015,9240.379999999996
64055.000000000095,8776.919999999838
64352.4000000003,8066.500000000219
64574.00000000016,7456.840000000015
64522.39999999992,6440.960000000339
64685.60000000007,6008.800000000222
65075.20000000016,5359.779999999842
65398.6000000001,5014.880000000069
65195.19999999998,4400.120000000095
65560.2,4171.000000000416
65478.999999999935,3810.719999999823
65696.79999999994,3414.03999999995
65776.79999999974,3069.5800000000854
65774.19999999981,2847.199999999836
65759.00000000016,2665.099999999548
65893.60000000049,2289.539999999597
65898.00000000047,2051.779999999829
65862.79999999981,1934.6800000002472
65878.3999999997,1765.2799999999922
65974.1999999998,1720.9719999997585
65941.99999999997,1506.4359999999715
65830.39999999989,1449.1500000001083
65775.80000000013,1327.239999999635
65959.8,1298.7799999997735
65937.20000000024,1335.879999999734
65988.1999999999,1240.2600000001614
65943.00000000025,1212.6800000003468
66007.79999999977,1242.97999999976
65877.59999999964,1254.2999999995936
65860.59999999966,1243.3599999999667
65950.59999999977,1311.7599999998745
66000.59999999982,1324.2800000000718
66002.9999999998,1515.3800000003168
66024.5999999997,1524.8000000005009
66098.59999999945,1622.9599999998677
66126.99999999958,1700.0000000001137
66221.19999999997,1888.300000000189
66319.79999999986,2110.5999999998576
66264.3999999995,2213.879999999738
65544.00000000004,1872.9600000000144
66400.60000000065,2505.339999999957
66401.80000000054,2729.539999999556
66320.40000000002,2826.199999999932
66777.79999999951,3169.800000000129
66869.39999999985,3318.7999999998874
66965.20000000004,3577.92000000027
67105.80000000016,3893.02000000018
67252.00000000033,4090.220000000136
67495.20000000032,4328.200000000217
67410.80000000015,4482.91999999999
67802.40000000008,4835.659999999887
68200.60000000003,5206.360000000157
68460.00000000015,5449.239999999731
68860.60000000014,5801.939999999785
69227.19999999988,6211.359999999898
69728.20000000011,6536.90000000027
69867.20000000039,6817.499999999965
70460.2000000005,7173.100000000369
70490.60000000003,7357.040000000355
71103.40000000047,7772.920000000089
71853.60000000056,8290.52000000043
72380.40000000037,8572.099999999791
73052.20000000033,9023.939999999688
73552.0,9372.52000000021
74082.39999999953,9611.91999999998
74656.60000000008,10139.49999999963
75295.6000000004,10405.199999999966
75474.20000000046,10624.739999999714
76471.20000000006,10977.980000000252
76894.19999999994,11250.339999999656
78251.99999999964,11786.939999999746
79047.79999999957,11999.36000000014
79724.79999999955,12324.979999999605
80466.6,12644.60000000002
81428.79999999994,12964.000000000387
82325.39999999938,13174.199999999752
83165.1999999995,13425.999999999784
83848.39999999985,13735.60000000041
84716.80000000015,13987.40000000013
85819.40000000004,14180.200000000028
86621.19999999974,14429.799999999766
87317.80000000028,14499.599999999731
