Re(Z),Img(Z)
3946.740000000005,1493.6599999997184
3977.019999999995,1564.4399999998914
3985.799999999998,1609.9799999997667
4079.4599999999914,1707.9199999998189
4191.399999999989,1765.1200000000888
4246.240000000022,1855.7400000001128
4230.979999999998,2021.9399999997784
4348.2,2108.379999999683
4390.619999999986,2256.9799999997185
4468.980000000011,2398.84000000046
4546.419999999987,2566.5400000000736
4469.960000000018,2791.600000000152
4517.880000000011,3008.780000000149
4670.760000000024,3138.6200000002527
4792.920000000016,3354.699999999983
4853.179999999999,3577.420000000097
5011.599999999988,3852.18000000029
5098.4000000000015,4118.160000000101
5202.5400000000045,4389.759999999735
5310.980000000027,4768.239999999978
5546.239999999998,5359.439999999958
5680.539999999984,5571.859999999924
5753.91999999999,5899.1599999999535
5797.079999999974,6423.260000000248
5994.800000000012,6966.23999999963
6157.5000000000255,7521.559999999799
6437.620000000004,8150.260000000399
6657.220000000033,8812.460000000241
6878.299999999981,9578.460000000445
7061.879999999981,10291.780000000144
7348.959999999967,11136.900000000232
7644.08,11998.200000000128
8274.439999999999,13199.40000000052
8687.900000000021,14293.200000000325
9165.36000000002,15380.19999999992
10682.499999999973,17541.200000000063
10774.539999999952,18146.20000000002
12559.780000000012,20286.99999999962
12703.99999999996,20994.60000000055
13824.399999999936,22540.00000000056
15007.79999999996,24049.79999999953
16866.79999999996,25836.59999999957
18622.399999999947,27207.19999999995
20496.99999999996,29198.599999999613
22885.60000000008,30233.99999999982
27193.19999999996,32661.19999999993
28448.999999999905,34129.200000000375
32117.79999999998,35684.40000000037
35591.99999999984,36776.40000000079
38221.599999999846,37010.20000000044
42533.20000000014,37084.79999999986
47344.39999999979,36871.40000000024
48914.59999999965,36900.40000000043
51629.399999999645,36307.400000000926
54984.59999999982,35613.000000001026
60318.80000000012,33680.800000000694
63040.80000000024,31442.40000000041
64799.60000000028,30625.80000000032
66054.2000000001,29628.40000000031
68779.59999999986,27624.7999999998
70947.39999999956,26037.199999999622
72615.99999999967,23787.19999999957
74388.2000000001,20744.400000000274
75000.80000000019,20276.200000000452
76250.9999999998,18140.200000000168
76418.79999999976,17700.220000000172
76778.19999999994,14876.159999999343
77656.39999999957,13789.739999999594
78241.79999999961,13048.219999999705
78741.99999999958,10866.05999999998
78903.19999999959,8525.580000000291
78883.1999999996,8435.060000000301
79128.59999999964,8284.600000000357
79316.20000000043,7254.880000000048
79412.20000000067,6796.440000000308
79515.60000000073,5832.41999999997
79526.0000000007,5227.419999999856
79517.40000000063,4919.283999999822
79544.40000000045,4075.903999999936
79411.20000000036,3545.9459999999294
79285.79999999984,3140.085999999806
79224.79999999967,2785.0059999997998
79156.79999999962,2024.8859999998783
79153.99999999962,2012.9259999998585
79042.5999999997,1787.473999999656
78995.1999999998,1641.7579999996085
78916.20000000027,1187.3659999998222
78881.60000000021,1119.1559999997992
78869.00000000022,1021.1259999999696
78680.79999999965,965.0959999995624
78649.59999999963,949.027999999636
78376.7999999997,880.9480000002224
78278.7999999998,866.4560000003393
78247.59999999983,856.3840000003946
78153.59999999992,884.8040000001009
78123.39999999992,827.6680000001234
78110.59999999993,849.3640000000335
78095.99999999999,1070.6999999997531
78092.80000000009,1131.917999999767
78165.60000000027,652.920000000067
78081.8000000001,1573.590000000088
78059.6000000003,1908.5420000001304
78063.20000000035,2035.560000000212
78071.00000000032,1897.1800000003043
78264.59999999999,2419.220000000255
78373.59999999974,2694.860000000089
78433.39999999956,2597.9199999997177
78147.5999999998,2274.77999999972
78191.00000000003,2428.359999999819
78697.60000000066,3421.3200000000725
78864.40000000052,4036.300000000028
78993.60000000003,4295.340000000235
79408.20000000017,4552.679999999812
79600.59999999974,4837.819999999776
79947.59999999973,5271.040000000192
80193.20000000001,5537.639999999913
80470.19999999994,5940.0999999998885
80719.59999999996,5341.679999999603
80435.19999999963,-620.8000000003369
81626.1999999999,6312.639999999741
78837.39999999985,14881.480000000498
83220.1999999998,6630.420000000373
83291.20000000013,8058.37999999982
83664.19999999991,8224.899999999854
84201.20000000061,2285.9000000001392
84859.40000000005,10231.060000000569
84800.40000000001,9612.880000000545
85294.39999999995,9817.180000000404
86149.59999999985,10205.26000000026
87032.19999999962,10644.319999999909
87579.59999999934,10844.240000000003
87726.79999999945,10976.140000000014
89062.0000000001,11612.220000000032
89384.0000000001,11771.020000000057
90458.0000000004,12196.860000000086
91279.79999999973,12487.80000000023
91938.80000000026,12636.999999999827
93009.3999999998,13092.000000000202
93663.7999999996,13332.400000000318
94790.1999999994,13702.000000000611
95406.60000000028,13811.000000000073
96952.40000000077,14201.800000000358
97689.40000000088,14413.800000000543
98078.80000000085,14577.200000000676
99003.60000000049,14865.19999999994
100579.99999999984,15119.000000000187
100847.5999999998,15358.40000000027
101623.40000000029,15456.60000000024
103249.40000000063,15892.799999999985
103325.80000000066,15910.399999999958
103368.2000000007,15921.399999999963
