Re(Z),Img(Z)
2168.3000000000047,961.3900000005268
2200.9,997.4840000005146
2176.3599999999965,1017.476000000286
2175.079999999999,1066.1600000002852
2282.799999999998,1176.5000000001105
2315.9999999999964,1242.019999999933
2269.479999999999,1293.1599999999498
2252.5600000000045,1370.2199999996592
2281.399999999999,1481.5600000000704
2384.499999999999,1601.6800000002604
2391.399999999997,1724.860000000069
2472.219999999996,1852.200000000003
2506.019999999996,1978.2799999999847
2573.4400000000046,2168.379999999654
2586.159999999992,2306.239999999685
2646.400000000006,2510.919999999729
2624.8200000000065,2668.859999999534
2681.660000000007,2938.579999999659
2733.960000000012,3140.739999999591
2772.8199999999965,3415.840000000283
2832.48,3735.980000000344
2908.3799999999983,4045.240000000126
3159.4200000000046,4483.219999999678
3313.8599999999933,4939.899999999751
3495.679999999993,5384.459999999838
3636.3799999999846,5865.01999999966
3710.260000000008,6384.219999999754
3986.5199999999977,6949.2200000000985
4086.719999999999,7457.679999999719
4374.699999999994,8193.620000000255
4607.420000000009,8880.92000000034
4874.820000000013,9559.7200000001
5557.82000000001,10663.980000000309
5912.519999999999,11411.080000000336
6487.160000000041,12511.800000000476
6892.299999999974,13531.400000000118
7446.379999999965,14535.79999999986
8227.699999999997,15607.599999999671
9381.49999999999,16875.600000000362
10490.42000000002,18302.600000000097
11758.15999999998,19572.999999999814
12431.800000000048,20602.3999999996
13823.19999999993,21886.19999999982
15942.200000000008,23328.199999999844
17404.00000000001,24505.8000000002
19039.200000000088,25592.999999999825
21295.000000000106,26571.199999999943
24161.400000000016,27308.99999999964
25886.799999999883,28178.19999999938
28582.80000000004,28869.79999999973
31429.599999999995,29220.99999999921
35321.1999999999,29408.39999999965
38412.99999999963,29151.79999999993
41215.7999999999,28599.399999999907
43426.80000000032,27845.6000000005
46147.20000000035,26809.000000000364
48037.00000000019,25866.800000000025
49957.99999999995,24650.20000000035
52602.00000000001,23091.00000000057
53871.80000000032,21904.40000000024
55044.600000000086,20691.999999999567
56460.20000000019,19140.60000000026
58055.40000000011,17237.20000000011
58711.39999999971,16717.39999999988
59510.99999999996,14257.479999999874
60093.799999999865,13793.279999999671
60853.00000000002,12914.719999999525
61370.600000000166,11950.040000000346
61742.79999999998,11173.200000000394
62165.19999999986,9786.640000000029
62575.39999999985,9125.299999999894
62817.40000000001,8214.940000000059
62901.40000000001,7636.940000000244
63016.200000000055,6718.140000000058
63212.80000000047,6181.560000000138
63261.20000000019,5505.939999999817
63457.399999999805,5035.259999999988
63383.19999999994,4401.140000000051
63597.00000000013,4101.080000000097
63495.6000000002,3593.640000000058
63445.60000000006,3166.024000000145
63355.59999999995,2679.6420000003222
63488.60000000001,2574.842000000312
63574.19999999992,2363.782000000322
63592.199999999895,2188.2040000003717
63604.39999999992,1925.430000000536
63611.5999999999,1820.39000000053
63693.79999999991,1423.004000000279
63682.39999999991,1295.3680000002482
63693.39999999992,1115.5200000003697
63693.39999999992,1048.9920000003938
63685.79999999993,916.7080000003364
63672.99999999999,882.9300000002486
63623.00000000016,851.9520000000392
63600.40000000024,800.6439999996467
63600.20000000025,724.5679999998596
63601.40000000024,715.8319999998582
63611.80000000021,698.0800000001415
63690.59999999993,700.0380000004469
63695.199999999895,705.4680000004483
63698.79999999991,736.718000000524
63701.39999999991,772.1019999999285
63710.19999999993,794.3819999999137
63730.80000000008,833.85199999983
63781.20000000035,910.5240000001093
63809.80000000042,990.4220000001504
63850.20000000016,1079.4860000000738
63732.200000000186,1689.679999999867
63914.99999999974,986.1880000003396
64002.59999999965,1162.800000000334
64011.59999999975,1628.740000000188
63984.80000000008,1742.8999999997332
64161.80000000029,1878.2999999998535
64279.80000000013,2016.8199999998576
64419.60000000019,2255.1199999999644
64556.20000000031,2630.400000000055
64549.40000000037,2690.0600000000586
64655.00000000039,2815.920000000091
64853.200000000266,2996.819999999817
64960.600000000224,3251.599999999969
65189.39999999991,3577.58000000024
65276.00000000018,3798.500000000406
65400.200000000135,3972.72000000026
65731.99999999993,4330.439999999919
65925.00000000026,4601.91999999995
66235.19999999959,5046.099999999654
66445.99999999967,5320.659999999652
66604.59999999973,5490.0199999993565
66919.19999999997,5858.899999999497
67504.40000000026,6434.6399999997
67617.60000000014,6632.159999999734
68090.4000000001,7058.440000000234
68591.40000000011,7492.960000000247
68954.80000000002,7839.44000000002
69493.79999999997,8253.860000000004
70134.19999999994,8766.400000000094
70373.20000000004,8967.760000000248
71153.79999999983,9524.420000000153
71619.79999999984,9833.699999999824
72635.79999999973,10409.019999999657
73032.9999999997,10645.7199999998
73764.19999999965,11081.760000000224
74287.39999999964,11373.400000000507
75722.20000000038,12008.600000000124
76288.60000000028,12265.80000000004
77178.39999999983,12736.199999999822
77949.80000000018,13051.80000000028
78323.20000000007,13223.2000000003
79725.99999999943,13781.600000000408
80500.99999999997,14002.599999999782
81315.3999999998,14279.399999999629
