Re(Z)_fit,Img(Z)_fit
10026.89039615192,1315.921744286654
10051.384721142102,1419.3926473432023
10077.297318130237,1531.3466346438904
10104.854329789614,1652.9313318860022
10134.401069921156,1785.851567621784
10165.903398466571,1930.0928383203477
10199.860595294322,2088.0343847083823
10235.503628811106,2256.058132807851
10274.107082896302,2440.0554761974345
10315.740362842598,2640.2041862810447
10361.609743537552,2862.0319291070095
10410.612858752656,3099.735830832935
10464.055434230422,3358.9614753822616
10521.997113642377,3639.0961663971843
10586.843824205047,3950.525638011085
10656.3523250661,4280.960503974931
10733.311141864018,4641.841524890581
10818.125640056765,5032.719041438591
10910.831813285346,5451.141221268782
11017.766259752763,5921.916246099817
11142.018754300401,6452.879883189459
11266.070367231934,6966.107107363707
11418.597805349422,7574.975873237445
11594.196131126748,8247.460509990326
11775.791461733414,8913.26076983139
12001.843868811262,9703.731613119307
12251.665170419623,10532.912022731241
12536.392183812655,11427.61729836374
12862.720872089893,12395.253854695766
13239.901719646328,13446.963498140558
13673.270917461214,14579.440155345002
14176.266944428255,15807.13457946111
14743.53040451299,17096.972590969177
15401.894229029333,18487.8549466208
16160.827675889017,19972.451768508916
17051.95404358562,21580.00538727812
18062.208113555233,23254.755459042437
19225.0089472696,25020.60456059134
20547.548666075785,26853.521439003132
22090.274237896097,28794.61629012089
23800.31547198482,30738.56761710935
25740.790738102976,32721.868939227847
27911.81981724898,34702.93455747869
30295.711984150723,36630.77413784457
33026.49159943762,38564.653215198574
36135.45836106864,40456.07513136844
39138.72226757978,42006.307209226565
42662.511474898514,43514.785560599594
46464.43179259009,44800.49949669833
50100.59441457926,45723.36442981291
54218.047803092566,46427.69587896317
58278.27655699511,46782.413146572755
62347.12883983738,46807.17350601745
66382.05899117087,46506.05998717303
70352.02395208887,45888.56395505518
74175.2882539088,44982.685599928926
77840.67117413502,43812.9284282426
81216.67593183837,42457.21673128719
84385.33640689385,40922.458115242254
87308.49203810602,39260.75080545223
90027.49323069678,37481.875122476886
92453.67060555404,35684.56934078097
94645.93430904708,33871.770386468685
96600.30899495409,32088.801433911853
98384.0554006088,30310.908763131025
99935.35367479322,28638.27458513349
101326.15673862632,27032.658363853447
102563.6606617735,25517.273953222877
103656.14901807319,24112.47569998068
104671.410410143,22754.834467242516
105615.6077398001,21454.804838483127
106378.30582957013,20386.99572345925
107141.66880975215,19313.516418577634
107852.51273050658,18322.516167705202
108454.89133399514,17500.984410442772
109072.84949953163,16688.183926053436
109636.33011359446,15984.916479961375
110171.70962457129,15360.13577914341
110686.86849876774,14806.937307086335
111189.8785200616,14318.37101341003
111681.16755249177,13894.582037234743
112168.79416678357,13528.427327425303
112642.48291872622,13225.229215831803
113119.21584498302,12971.378929945256
113598.12219982146,12766.059807344267
114090.16963574018,12603.81117791181
114580.86231553787,12487.349258933487
115080.78618746735,12410.981310111487
115587.01551095607,12372.655346899744
116115.39101669985,12369.752132535968
116642.90312838602,12400.039624272184
117186.26661003185,12461.4105187145
117742.13050403434,12551.590145113707
118305.12393520576,12667.194007727205
118904.74401913129,12813.222860956792
119544.33569181955,12990.980175791326
120130.83291939975,13170.761084489579
120791.85326917909,13389.442394090891
121484.16622999443,13633.589245028763
122135.94167794898,13875.026524503666
122872.31054177832,14158.747581033556
123607.0487979951,14451.106617759098
124362.62604032339,14759.310434510517
125142.37687839344,15083.518473805132
125952.0244881056,15425.026712891688
126786.13353223185,15780.462273995561
127652.76737256533,16152.187377833645
128527.5914663746,16528.66940855464
129436.56873378767,16920.030038836117
130374.16761821344,17322.876011895627
131358.62658132683,17743.978338886132
132357.5408826972,18168.44725457486
133388.99510824413,18603.007599087934
134444.08759835767,19042.934857327746
135553.452280584,19499.872218431912
136666.411214299,19951.979729206094
137815.9348784439,20411.849235879465
138992.97744607017,20874.867698421524
140184.3423593939,21335.0900733326
141450.62897270138,21814.657436663394
142796.75172220604,22313.338903558335
144025.78385679965,22758.43920783357
145403.7425117101,23245.719329533316
146837.69600671285,23739.46016000509
148178.28733028262,24188.64819965596
149681.1988049985,24677.890288834013
151167.85822369243,25146.882533133135
152682.7440662946,25609.447122632588
154230.90157268822,26066.175237436037
155821.7897180538,26518.67756784711
157442.80944991528,26962.231995010185
159107.61513162672,27399.408072902217
160768.00648168716,27816.95239455254
162471.76991593646,28226.29486673469
164206.33427848376,28623.231909646784
166002.7445645513,29013.345485817026
167799.70286438166,29382.317572442575
169628.14178090348,29736.024768671952
171470.34739186848,30070.327428004337
173377.00503667418,30393.10216864412
175259.05261670318,30688.641794446776
177171.05070952652,30965.511964718644
179095.80063630902,31220.527576457836
181010.542801337,31450.707900625133
183009.5194183105,31666.080588257464
185094.4720406536,31863.663607890092
186962.77527745353,32017.31358066866
189018.29363046662,32160.865585836804
191114.38054147776,32279.798305882046
193035.31767372988,32364.48878849306
195145.52017680398,32430.762588817608
