Re(Z)_fit,Img(Z)_fit
25726.8916426693,2697.4717276441756
25785.42819006278,2868.4076742558686
25847.445750208437,3048.5869110306144
25914.798139046718,3243.2061642858553
25985.219763383506,3445.53216982128
26062.294636040977,3665.6332549537988
26143.217746020877,3895.241319987428
26231.072394953586,4142.827708077374
26323.951500817115,4402.696907386896
26423.762986119975,4679.854007512273
26530.478415666672,4973.8154052329055
26643.785592529995,5283.315303711307
26767.11826711303,5617.203331197862
26896.372691848926,5963.850531035145
27040.961293362732,6347.7546640096725
27190.658190531638,6741.033015712882
27349.906703913755,7154.857068780306
27526.433891814973,7608.2622838368
27712.684430824575,8080.764144135785
27906.627920040995,8566.573380027045
28131.927802233113,9123.2432540607
28349.686212682464,9653.703966213376
28601.758764340815,10258.798054780353
28875.919674880286,10906.423234658534
29173.044615261762,11596.459042959168
29464.73533398413,12262.400783592237
29802.873170395775,13020.775067259568
30160.86002562043,13808.456843263792
30534.873030803978,14615.474869106163
30970.818108823958,15536.59654282058
31423.970058374303,16472.933321362554
31912.80253586653,17460.128946431054
32436.49706068573,18492.83618852229
33011.70503474061,19599.13503529851
33619.99352471571,20739.034906584933
34293.39550836605,21967.133857954166
35008.54854133219,23234.870092076573
35793.82115973266,24586.362913038807
36633.38052949859,25987.412876428767
37545.57082199912,27461.723957736067
38531.369311787676,29002.70468368355
39588.899988351,30599.6268475169
40751.43435724525,32292.778516158316
41981.15390206811,34017.85537804593
43368.77942459818,35889.083642909754
44816.82961564504,37762.9491133316
46367.80254642444,39687.41597850386
48097.10162200348,41740.06136876557
49930.11315221629,43816.829477903484
51844.87796419208,45885.7186951015
54072.91860571562,48173.767140186515
56380.91501918941,50418.976602643495
58714.03686119908,52569.184454153954
61408.54074467953,54914.148546195065
64309.37204572478,57285.25050080291
67132.02616456161,59450.792369496085
70366.80803226397,61772.81162524691
73741.44811644913,64025.74988226643
77206.15084759268,66170.65036582889
81159.33815969831,68423.17982305656
85165.4322274716,70507.02075886205
89364.19292475279,72488.80880381593
93785.58298953786,74363.99977129402
98325.0494061396,76074.62038414508
103085.13081364894,77645.4336586003
107942.38905643184,79022.61900754293
112931.13687117254,80208.24527969815
118112.77113290799,81201.68531839571
123327.05273596769,81962.681321859
128634.40901335003,82496.13228129804
133980.54720033405,82790.86267341011
139301.92534519115,82844.2265254176
144701.6325206301,82653.96546541479
149950.44801293878,82231.94612902336
155163.44571919506,81578.99537555569
160499.7317926587,80665.17505071442
165493.02718022247,79580.07120740305
170519.40532917512,78256.65804632138
175308.2292267034,76772.66092010384
179800.97935095726,75174.61610899522
184469.19538646122,73293.55586118107
188493.79742501478,71482.50534027723
192639.69033100092,69423.57656387729
196616.65066750074,67253.48466522306
200399.6780674949,65000.6422863178
203665.74399129447,62898.05233171295
206988.30655730065,60598.985336895195
210054.68383383952,58323.867074462156
212848.8183557049,56113.24903689228
215672.41503555924,53736.100601579186
218204.16977733222,51472.81210054474
220561.82568437842,49244.22333207236
222739.4682238659,47074.084055673426
224796.76494816924,44917.599720238955
226665.9923485592,42861.75790660114
228441.2640624611,40817.59196271675
230056.22179607462,38874.56276053289
231574.17278820352,36970.322202046395
232962.00549476338,35158.44331156513
234251.54061210348,33409.969146736854
235442.57237419343,31735.785281453038
236535.12654836162,30146.823487574944
237561.45410906413,28605.08379477076
238489.73322569573,27167.49107955728
239384.2335871667,25741.602962243294
240181.38073354113,24435.986279931476
240913.50644523618,23206.99284135834
241612.7409985873,22006.001999568063
242247.61025485932,20892.425848524985
242818.46868257326,19872.573946913053
243389.00124009754,18836.421864412278
243864.36629178104,17961.12707170713
244339.8622455332,17076.025350288484
244784.0054906105,16242.387101747938
245165.18567943037,15523.495521412347
245547.06474000463,14802.477910418289
245898.00318984778,14141.93543015885
246218.04864615484,13544.332227640218
246507.18464183385,13011.570354766018
246797.6778834879,12487.05823997281
247057.3657550365,12031.53410225019
247299.16038353034,11623.325602545614
247523.0564961994,11263.869272190701
247735.677331885,10944.346973073218
247930.37656348493,10675.966315498856
248117.25001991968,10446.235897971163
248289.54707957237,10264.918175262324
248454.18422221704,10125.741730962145
248607.72436338887,10032.85128575041
248753.77527133937,9984.618238482251
248892.45184219562,9982.126340418596
249023.827431938,10025.55485369319
249151.98457482384,10117.547653715419
249273.08102285507,10255.445201063107
249395.9095072226,10451.299940109588
249512.07720587807,10692.339854120099
249626.152243525,10984.056362721978
249743.87267140116,11342.523624421168
249860.65474986885,11753.69027709352
249976.39868465342,12211.429331588175
250098.08885167414,12739.742254629236
250227.33824796721,13344.144865380946
250365.98292872452,14029.827506417394
250516.05454846885,14801.2098226654
250679.7071443088,15661.310175166718
250842.86279279558,16525.124195169505
251036.55118289604,17545.500925580513
251248.27984140313,18643.098768165542
251477.9910626448,19804.303929360958
251757.8981791247,21171.4890370946
252063.76360480062,22603.525620660657
252411.638753474,24156.1868763778
252805.67172770455,25824.305581008073
253264.4587894354,27657.802308825565
253779.57149619982,29594.082760751502
254385.82838703538,31730.24091807278
255070.93133466516,33986.28341647696
255871.65589570548,36444.519835254425
256782.9324122538,39046.661574886755
257836.31667567673,41839.36778700758
259046.81387822612,44812.89849866742
260426.0115776948,47947.29584558042
262034.8045293406,51322.36381439222
263837.57084083086,54807.84377695774
265990.1486987856,58631.76558047414
268362.4040603732,62494.293595154384
271036.3317739109,66482.04650484241
274167.3875937655,70741.69579492274
277643.01752703416,75037.8374620289
281428.00324546196,79281.58815843315
286006.13941083045,83903.21200694294
290582.76444560214,88045.72366302807
296023.31733633473,92436.81757526309
302060.59458138363,96720.97424794371
308679.78550587664,100796.19914204637
315193.1710527894,104242.78502453328
322691.12595645234,107587.92025065901
330493.3430404013,110423.16640094353
338425.09791492205,112680.81009933022
347313.2814112888,114507.62843930181
356083.70514266036,115614.64509799799
