Re(Z)_fit,Img(Z)_fit
4932.856291444861,721.2050680368102
4934.866091284081,790.4909399371585
4937.230771584209,866.172543091912
4940.027392910601,949.1257140835842
4943.362500731461,1040.6321233052527
4947.316291171173,1140.8070287950304
4952.052625317814,1251.439672652128
4957.566810770607,1370.112179125218
4964.177373855005,1501.1113202984156
4972.058867981664,1644.7307293527597
4981.648840823877,1805.1389161719928
4992.9388309917695,1978.3263926469192
5006.465418632022,2168.5770276276885
5022.5295445515885,2375.6378175252244
5042.1790677703575,2607.4410314669267
5065.120582641125,2855.0629202322675
5092.674635057382,3127.2731990545108
5125.505640456511,3423.9896592251025
5164.142797918462,3743.563575181786
5211.996095958972,4105.281080216929
5271.620400478154,4515.688208701779
5335.03557870408,4914.57376895114
5417.755403931112,5390.253132179101
5518.711637702662,5918.3448804702175
5628.747776592694,6443.607393067735
5772.638413822798,7069.870052862477
5939.307389157285,7729.346655619155
6137.555126773712,8443.240609587861
6373.893211506205,9217.303469688171
6657.151753298894,10060.097717884673
6993.585671281536,10968.316992548996
7396.012391498452,11952.477581201827
7862.17992863854,12984.525919378035
8416.108506474862,14093.432429177163
9067.907897377658,15270.302255493425
9846.75762622241,16533.984359321894
10742.316031621061,17835.289397170585
11784.05980496614,19186.361581434358
12977.109464300978,20560.779296600675
14372.993986693087,21978.64179544398
15918.50655217219,23351.806333683693
17662.685499014515,24694.70362335712
19594.576629661962,25965.438549065424
21685.005012930516,27119.475506272003
24032.77526173994,28175.56408479417
26637.83812342536,29082.130613247056
29080.922056881347,29700.68072072808
31851.705871511465,30148.565269889416
34723.031469458656,30340.25579650581
37354.04374500512,30276.985201663967
40198.5998445751,29949.86150323567
42865.96053401165,29391.16418352456
45405.076101662205,28619.687785789378
47794.143757991835,27662.835040367343
50022.900912402976,26546.813424015032
52058.00305879655,25315.04107913963
53908.80482791993,23991.78442368727
55528.06782573334,22648.42094748236
56973.99217269891,21274.975448996647
58244.3642092549,19905.56918999853
59370.58957179212,18536.638126242324
60329.25371512866,17230.436385760633
61156.43058700337,15974.411969780216
61860.834349601464,14787.721929549763
62474.62043477954,13644.029934288948
62983.8678261189,12598.244725368091
63419.069522553946,11617.526897091111
63787.47114277942,10709.428896966996
64096.273985046646,9880.223859532873
64367.82347708632,9088.167609126493
64605.49227301686,8336.203170294863
64785.91012315013,7721.684799845275
64955.19145816093,7105.081812607434
65101.93123233661,6535.158027091574
65217.63355626285,6060.607991915306
65327.8662077013,5587.417780324512
65420.91252534901,5173.120467601562
65502.90327681442,4799.188026342659
65576.22534931275,4461.211821872121
65642.98762312254,4154.762006193404
65704.10222856897,3879.940237986012
65761.32382172528,3632.276927609852
65814.18233907534,3416.025382670501
65865.20439014462,3222.3152256674193
65914.76976093209,3051.069158001508
65964.41842870969,2898.195995061894
66013.07523364239,2767.42124731062
66062.15266699533,2654.617429216738
66111.67033799186,2559.464230914627
66163.45734757381,2478.541877649757
66215.50911336628,2414.467216494207
66269.69586773957,2363.9445240852574
66325.89992867054,2326.608651581453
66383.75886188517,2301.8122040464696
66446.53783751605,2288.036523148532
66514.92657301556,2285.880583035607
66579.00794870718,2293.837639035982
66652.87152874883,2312.7411379351574
66732.15530838307,2342.385307119916
66808.63955560284,2378.316026278533
66897.24137885896,2427.0618898122234
66987.99673348987,2483.2194285252194
67083.80189329921,2547.7880911819443
67185.32761108183,2620.7432473909985
67293.62047276144,2702.417933669705
67408.26524773848,2792.0562721753627
67530.70700219537,2890.32795990839
67657.7572347752,2994.141860380905
67793.45179568375,3106.263646574869
67937.36218735314,3225.839585594065
68092.78165264422,3355.0684317844825
68255.00735163559,3489.467273467665
68427.30090511862,3631.149137956736
68608.56832541744,3778.6027539485035
68804.63260784648,3935.8602629202983
69006.95488380795,4095.4034193001867
69221.81425607312,4261.553863587483
69447.98742618275,4432.625044984553
69683.22819302266,4606.266968002646
69940.16961014699,4790.855684193244
70221.03239080407,4986.544765073581
70484.32599475617,5164.24167282632
70787.1923049989,5361.831262992424
71110.8166571724,5565.023724945257
71420.99869298887,5752.219047057328
71777.28076634348,5958.30347193139
72138.33596619856,6157.6328918572235
72514.76852275062,6355.509355898136
72908.00839714309,6551.663059583528
73320.68888607335,6746.221696095274
73749.67194784881,6936.537268198219
74198.62221780198,7123.039644461592
74654.25683883748,7299.417658708219
75129.31958451384,7469.831449633389
75620.08454482871,7631.776794140799
76135.09853349117,7786.6779403820165
76656.26807947765,7928.093162285083
77191.78799844676,8057.662752663072
77735.68038679946,8173.234779591004
78302.11356337642,8276.721033962825
78863.64827841189,8362.567074199373
79435.4510505639,8433.064027169938
80011.2857986814,8486.97830225196
80583.22220893852,8523.690556155381
81178.17283946957,8544.165646070196
81795.09189343755,8546.370046860879
82343.70265135981,8532.057035267035
82941.57923117434,8498.96713544929
83543.95524785224,8447.08041923027
84088.5652716051,8384.017513305887
84677.65482109536,8298.352351542126
