Ionic radius ,Temperature,Frequency,Re(Z),Img(Z)
1.82e-10,-10,1000000.0,3160.0,9670.0
1.82e-10,-10,926000.0,3480.0,10200.0
1.82e-10,-10,858000.0,3840.0,10300.0
1.82e-10,-10,794000.0,4210.0,10600.0
1.82e-10,-10,736000.0,4530.0,10900.0
1.82e-10,-10,681000.0,4870.0,11300.0
1.82e-10,-10,631000.0,5220.0,11600.0
1.82e-10,-10,584000.0,5570.0,12000.0
1.82e-10,-10,541000.0,5940.0,12400.0
1.82e-10,-10,501000.0,6330.0,12900.0
1.82e-10,-10,464000.0,6660.0,13300.0
1.82e-10,-10,430000.0,7190.0,13800.0
1.82e-10,-10,398000.0,7550.0,14100.0
1.82e-10,-10,369000.0,7970.0,14800.0
1.82e-10,-10,341000.0,8460.0,15200.0
1.82e-10,-10,316000.0,8930.0,15800.0
1.82e-10,-10,293000.0,9430.0,16200.0
1.82e-10,-10,271000.0,9950.0,16900.0
1.82e-10,-10,251000.0,10500.0,17500.0
1.82e-10,-10,233000.0,11000.0,18100.0
1.82e-10,-10,215000.0,11600.0,18600.0
1.82e-10,-10,200000.0,12200.0,19300.0
1.82e-10,-10,185000.0,12800.0,19900.0
1.82e-10,-10,171000.0,13500.0,20700.0
1.82e-10,-10,158000.0,14200.0,21300.0
1.82e-10,-10,147000.0,14700.0,22100.0
1.82e-10,-10,136000.0,15400.0,22800.0
1.82e-10,-10,126000.0,16200.0,23700.0
1.82e-10,-10,117000.0,16900.0,24400.0
1.82e-10,-10,108000.0,17700.0,25200.0
1.82e-10,-10,100000.0,18500.0,26100.0
1.82e-10,-10,92600.0,19300.0,27000.0
1.82e-10,-10,85800.0,20100.0,27900.0
1.82e-10,-10,79400.0,20900.0,29000.0
1.82e-10,-10,73600.0,21800.0,30100.0
1.82e-10,-10,68100.0,22700.0,31200.0
1.82e-10,-10,63100.0,23700.0,32300.0
1.82e-10,-10,58400.0,24600.0,33400.0
1.82e-10,-10,54100.0,25800.0,34900.0
1.82e-10,-10,50100.0,27000.0,36200.0
1.82e-10,-10,46400.0,28200.0,37500.0
1.82e-10,-10,43000.0,29300.0,38900.0
1.82e-10,-10,39800.0,30000.0,40300.0
1.82e-10,-10,36900.0,31200.0,41800.0
1.82e-10,-10,34100.0,32600.0,43400.0
1.82e-10,-10,31600.0,34100.0,45200.0
1.82e-10,-10,29300.0,35500.0,46700.0
1.82e-10,-10,27100.0,37100.0,48400.0
1.82e-10,-10,25100.0,38800.0,50200.0
1.82e-10,-10,23300.0,40700.0,52400.0
1.82e-10,-10,21500.0,41900.0,53700.0
1.82e-10,-10,19900.0,43300.0,55800.0
1.82e-10,-10,18500.0,44700.0,57600.0
1.82e-10,-10,17100.0,46600.0,59600.0
1.82e-10,-10,15800.0,48400.0,61800.0
1.82e-10,-10,14700.0,49800.0,64100.0
1.82e-10,-10,13600.0,51000.0,66300.0
1.82e-10,-10,12600.0,52100.0,68600.0
1.82e-10,-10,11700.0,53900.0,71800.0
1.82e-10,-10,10800.0,55200.0,74800.0
1.82e-10,-10,10000.0,56700.0,78300.0
1.82e-10,-10,9260.0,57800.0,81800.0
1.82e-10,-10,8570.0,58900.0,85700.0
1.82e-10,-10,7940.0,60300.0,90200.0
1.82e-10,-10,7350.0,61900.0,95000.0
1.82e-10,-10,6810.0,63100.0,100000.0
1.82e-10,-10,6310.0,64400.0,106000.0
1.82e-10,-10,5840.0,65700.0,112000.0
1.82e-10,-10,5410.0,67600.0,119000.0
1.82e-10,-10,5010.0,69400.0,126000.0
1.82e-10,-10,4640.0,71600.0,134000.0
1.82e-10,-10,4300.0,74100.0,142000.0
1.82e-10,-10,3980.0,76700.0,151000.0
1.82e-10,-10,3690.0,79700.0,161000.0
1.82e-10,-10,3420.0,82700.0,170000.0
1.82e-10,-10,3160.0,87100.0,182000.0
1.82e-10,-10,2930.0,91500.0,194000.0
1.82e-10,-10,2710.0,96500.0,206000.0
1.82e-10,-10,2510.0,102000.0,219000.0
1.82e-10,-10,2330.0,108000.0,233000.0
1.82e-10,-10,2150.0,115000.0,248000.0
1.82e-10,-10,2000.0,123000.0,262000.0
1.82e-10,-10,1850.0,130000.0,279000.0
1.82e-10,-10,1710.0,142000.0,296000.0
1.82e-10,-10,1580.0,152000.0,315000.0
1.82e-10,-10,1470.0,166000.0,333000.0
1.82e-10,-10,1360.0,178000.0,352000.0
1.82e-10,-10,1260.0,190000.0,371000.0
1.82e-10,-10,1170.0,208000.0,391000.0
1.82e-10,-10,1080.0,226000.0,412000.0
1.82e-10,-10,1000.0,244000.0,434000.0
1.82e-10,-10,926.0,266000.0,455000.0
1.82e-10,-10,858.0,288000.0,476000.0
1.82e-10,-10,794.0,312000.0,497000.0
1.82e-10,-10,736.0,336000.0,520000.0
1.82e-10,-10,681.0,363000.0,542000.0
1.82e-10,-10,631.0,391000.0,562000.0
1.82e-10,-10,584.0,422000.0,583000.0
1.82e-10,-10,541.0,454000.0,604000.0
1.82e-10,-10,501.0,490000.0,623000.0
1.82e-10,-10,464.0,526000.0,642000.0
1.82e-10,-10,430.0,565000.0,660000.0
1.82e-10,-10,398.0,604000.0,678000.0
1.82e-10,-10,369.0,646000.0,696000.0
1.82e-10,-10,341.0,686000.0,708000.0
1.82e-10,-10,316.0,729000.0,723000.0
1.82e-10,-10,293.0,772000.0,731000.0
1.82e-10,-10,271.0,818000.0,739000.0
1.82e-10,-10,251.0,872000.0,745000.0
1.82e-10,-10,233.0,909000.0,754000.0
1.82e-10,-10,215.0,956000.0,762000.0
1.82e-10,-10,200.0,999000.0,761000.0
1.82e-10,-10,185.0,1050000.0,763000.0
1.82e-10,-10,171.0,1100000.0,761000.0
1.82e-10,-10,159.0,1140000.0,761000.0
1.82e-10,-10,147.0,1180000.0,765000.0
1.82e-10,-10,136.0,1230000.0,759000.0
1.82e-10,-10,126.0,1270000.0,749000.0
1.82e-10,-10,117.0,1320000.0,738000.0
1.82e-10,-10,108.0,1350000.0,731000.0
1.82e-10,-10,100.0,1390000.0,725000.0
1.82e-10,-10,92.6,1430000.0,717000.0
1.82e-10,-10,85.8,1470000.0,704000.0
1.82e-10,-10,79.4,1510000.0,693000.0
1.82e-10,-10,73.6,1550000.0,685000.0
1.82e-10,-10,68.1,1580000.0,664000.0
1.82e-10,-10,63.1,1610000.0,680000.0
1.82e-10,-10,58.4,1640000.0,676000.0
1.82e-10,-10,54.1,1670000.0,676000.0
1.82e-10,-10,50.1,1660000.0,489000.0
1.82e-10,-10,46.4,1690000.0,645000.0
1.82e-10,-10,43.0,1770000.0,612000.0
1.82e-10,-10,39.8,1790000.0,619000.0
1.82e-10,-10,36.9,1800000.0,599000.0
1.82e-10,-10,34.1,1840000.0,587000.0
1.82e-10,-10,31.6,1880000.0,585000.0
1.82e-10,-10,29.3,1890000.0,570000.0
1.82e-10,-10,27.1,1920000.0,586000.0
1.82e-10,-10,25.1,1940000.0,574000.0
1.82e-10,-10,23.3,1960000.0,578000.0
1.82e-10,-10,21.6,1970000.0,558000.0
1.82e-10,-10,20.0,2000000.0,557000.0
1.82e-10,-10,18.5,2020000.0,562000.0
1.82e-10,-10,17.1,2050000.0,567000.0
1.82e-10,-10,15.8,2080000.0,569000.0
1.82e-10,-10,14.7,2090000.0,558000.0
1.82e-10,-10,13.6,2100000.0,571000.0
1.82e-10,-10,12.6,2130000.0,568000.0
1.82e-10,-10,11.7,2150000.0,595000.0
1.82e-10,-10,10.8,2190000.0,612000.0
1.82e-10,-10,10.0,2180000.0,613000.0
1.82e-10,-10,9.26,2210000.0,610000.0
1.82e-10,-10,8.58,2220000.0,618000.0
1.82e-10,-10,7.94,2260000.0,646000.0
1.82e-10,-10,7.36,2290000.0,650000.0
1.82e-10,-10,6.81,2320000.0,672000.0
1.82e-10,-10,6.31,2320000.0,694000.0
1.82e-10,-10,5.84,2360000.0,709000.0
1.82e-10,-10,5.41,2370000.0,722000.0
1.82e-10,-10,5.01,2430000.0,759000.0
1.82e-10,-10,4.64,2460000.0,784000.0
